"id","name","type1_id","type2_id","stats_id","can_evolve","front_sprite","shiny_front_sprite","ability","ability_desc","hidden_ability","hidden_ability_desc","generation","weight"
1,"bulbasaur",4,8,1,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png","overgrow","When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","i",69
2,"ivysaur",4,8,2,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png","overgrow","When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","i",130
3,"venusaur",4,8,3,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png","overgrow","When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.","chlorophyll","This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.","i",1000
4,"charmander",2,0,4,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png","blaze","When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.","solar-power","During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.","i",85
5,"charmeleon",2,0,5,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png","blaze","When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.","solar-power","During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.","i",190
6,"charizard",2,10,6,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png","blaze","When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.","solar-power","During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.","i",905
7,"squirtle",3,0,7,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png","torrent","When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.","rain-dish","This Pokémon heals for 1/16 of its maximum HP after each turn during rain.","i",90
8,"wartortle",3,0,8,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png","torrent","When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.","rain-dish","This Pokémon heals for 1/16 of its maximum HP after each turn during rain.","i",225
9,"blastoise",3,0,9,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png","torrent","When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.","rain-dish","This Pokémon heals for 1/16 of its maximum HP after each turn during rain.","i",855
10,"caterpie",12,0,10,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png","shield-dust","This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.","run-away","This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.","i",29
11,"metapod",12,0,11,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png","shed-skin","After each turn, this Pokémon has a 33% of being cured of any major status ailment.","","","i",99
12,"butterfree",12,10,12,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png","compound-eyes","This Pokémon's moves have 1.3× their accuracy.

This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.","tinted-lens","This Pokémon deals twice as much damage with moves that are not very effective against the target.","i",320
13,"weedle",12,8,13,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png","shield-dust","This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.","run-away","This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.","i",32
14,"kakuna",12,8,14,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png","shed-skin","After each turn, this Pokémon has a 33% of being cured of any major status ailment.","","","i",100
15,"beedrill",12,8,15,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png","swarm","When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.","sniper","This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.","i",295
16,"pidgey",1,10,16,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png","tangled-feet","When this Pokémon is confused, it has twice its evasion.","big-pecks","This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.","i",18
17,"pidgeotto",1,10,17,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png","tangled-feet","When this Pokémon is confused, it has twice its evasion.","big-pecks","This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.","i",300
18,"pidgeot",1,10,18,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png","tangled-feet","When this Pokémon is confused, it has twice its evasion.","big-pecks","This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.","i",395
19,"rattata",1,0,19,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png","guts","Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack.  This Pokémon is not affected by the usual Attack cut from a burn.

This bonus does not count as a stat modifier.","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","i",35
20,"raticate",1,0,20,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png","guts","Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack.  This Pokémon is not affected by the usual Attack cut from a burn.

This bonus does not count as a stat modifier.","hustle","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","i",185
21,"spearow",1,10,21,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png","keen-eye","This Pokémon cannot have its accuracy lowered.

This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.","sniper","This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.","i",20
22,"fearow",1,10,22,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png","keen-eye","This Pokémon cannot have its accuracy lowered.

This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.","sniper","This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.","i",380
23,"ekans",8,0,23,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/23.png","shed-skin","After each turn, this Pokémon has a 33% of being cured of any major status ailment.","unnerve","Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.","i",69
24,"arbok",8,0,24,1,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/24.png","shed-skin","After each turn, this Pokémon has a 33% of being cured of any major status ailment.","unnerve","Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.","i",650
